指標名稱,相似度,片段內容
G-1-2,0.8627654147560111,"與其衝擊，針對氣候相關風險與機會進行辨識、衡量、監督及控管程
序，並制訂因應策略以及指標目標。
風險管理委員會
氣候風險管理之統籌單位，負責監督及指導氣候風險管理執行情形，
審議氣候風險相關提案，並提報董事會氣候風險相關資訊。風險管理
委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成
員，董事長及總經理皆為董事成員，藉由董事成員的監管，達到董事
會監督之目的。
合庫銀行資產負債管理暨業務發展委員會、
投資企業暨買賣有價證券審議委員會及授信審議小組
各依其職掌及業務別，考量氣候相關風險與機會，審議提案。"
G-1-2,0.8599168989259781,"風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會
及董事會，依決議事項持續追蹤改善。倘發生重大異常氣候風險或特殊情況，則依本公司緊急事件危機處理相關規定採取因應措施。
1.3 知識與能力培育
　　合庫深知氣候知識建構的重要性，致力於增進治理階層及員工對
氣候風險議題的認知。2022年董事會成員參與各項氣候相關課程講
習，包括「全球淨零排放因應與企業ESG行動」、「氣候變遷與淨
零排放政策對企業經營的風險與機會」、「以金融支持產業轉型減碳
及達成淨零」、 「低碳經濟與企業低碳創新的全球趨勢與商機」、 「國"
G-1-2,0.8581850743839534,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-1-2,0.850725819767374,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-1-2,0.8507118059402442,"風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，
依循本公司治理原則管理氣候相關風險。 本公司氣候風險管理最高決策單位，確保建立及維持適當有效之氣候風險管理制度金控董事會
董事長
董事長銀行董事會永續經營委員會
永續金融小組
TCFD 工作小組氣候風險管理之統籌單位，
監督及指導集團氣候風險管
理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核"
G-1-2,0.8404878128917593,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄7　　董事會及高階管理階層對氣候相關風險之管理及監督為氣
候治理之基石，以形塑企業價值，是帶領集團因應氣候變遷議
題之重要推手。旗下由相關委員會及小組負責執行氣候風險機
會之管理以及相關業務之監督與執行。
1.1 治理架構與權責
　　本公司、合庫銀行、合庫人壽及合庫票券均已訂定「氣候
風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，"
G-1-2,0.839794486697043,"資訊。風險管理委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成員，董事長及總經理皆為董事成員，藉由董事成員的監
管，達到董事會監督之目的。
(3)	合庫銀行資產負債管理暨業務發展委員會、投資企業暨買賣有價證券審議委員會及授信審議小組：各依其職掌及業務別，考量氣候相關風險
與機會，審議提案。1.2 資訊陳報機制
　　本公司定期向高階管理階層及董事會陳報氣候風險管理相關資訊。其中，各子公司依業務性質及資產規模，按季將氣候風險管理重要事項於其
風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會"
G-1-2,0.8378122255811665,"每月 風險管理單位	➡	高階管理階層 統計監控「高污染及高碳排行業」暴險情形，陳報高階管理階層。
每季 風險管理單位	➡	風險管理委員會	➡	董事會風險管理單位依業務性質及資產規模，按季將氣候風險管理重要事項於其風險管
理委員會報告後，納入1月、4月、7月及10月陳報董事會之風險管理資訊報告案。
每年 風險管理委員會	➡	董事會 風險管理委員會每年定期呈報氣候風險辨識結果及管理流程至董事會。
　　本公司每年皆定期安排員工參與氣候相關基礎訓練，以確保每位
同仁了解氣候變遷對合庫的衝擊，例如「氣候變遷國際發展及因應策
略」、「氣候風險管理」、「永續金融專業人才培訓」及「實體風險"
G-1-2,0.8334929111786489,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄8董事會成員背景及專業
　　董事會成員具備豐富之多元性，產業經歷方面具全球行業分類標準 （GICS） 金
融相關工作經驗者達 	85.7%。然而，氣候變遷的影響逐漸擴大，集團董事具備氣
候變遷相關知識背景的重要性也日趨顯著。本集團董事持續精進自身對於金融業
之氣候風險相關議題之了解，以及國內外因應氣候變遷之金融法規規範及揭露要
求。在氣候變遷議題快速變動與發展的時代，集團董事皆積極參與氣候變遷相關
講座及論壇，並廣納外部專家之建議，以掌握氣候變遷議題之最新趨勢，強化自"
G-1-2,0.8303732857455695,"方式。
•	徵取企業授信戶資料表、年報、永續報告書等公開資訊，得知用水用電情形，供審核參考。
2氣候相關法規對自身營
運之影響「氣候變遷因應法」正式發布，倘未能妥善因應
與規劃，可能遭受裁罰。中度 短期自身
營運•	資產價值減損
•	合規費用增加
•	間接成本上升•	作業風險
•	合規風險
因應措施	➡•	針對綠色金融 3.0 行動方案及其他相關監理機關要求，本集團已將氣候相關風險管理納入內部規章，並採取對應措施。
•	為符合國家2050淨零路徑下氣候相關法規對於企業減碳設立的目標，銀行推動節能減碳專案，並持續以購入綠電方式，降低營運碳排。
3實體風險對融資與投資"
G-1-3,0.8487266788386689,"風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會
及董事會，依決議事項持續追蹤改善。倘發生重大異常氣候風險或特殊情況，則依本公司緊急事件危機處理相關規定採取因應措施。
1.3 知識與能力培育
　　合庫深知氣候知識建構的重要性，致力於增進治理階層及員工對
氣候風險議題的認知。2022年董事會成員參與各項氣候相關課程講
習，包括「全球淨零排放因應與企業ESG行動」、「氣候變遷與淨
零排放政策對企業經營的風險與機會」、「以金融支持產業轉型減碳
及達成淨零」、 「低碳經濟與企業低碳創新的全球趨勢與商機」、 「國"
G-1-3,0.8467526258215399,"與其衝擊，針對氣候相關風險與機會進行辨識、衡量、監督及控管程
序，並制訂因應策略以及指標目標。
風險管理委員會
氣候風險管理之統籌單位，負責監督及指導氣候風險管理執行情形，
審議氣候風險相關提案，並提報董事會氣候風險相關資訊。風險管理
委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成
員，董事長及總經理皆為董事成員，藉由董事成員的監管，達到董事
會監督之目的。
合庫銀行資產負債管理暨業務發展委員會、
投資企業暨買賣有價證券審議委員會及授信審議小組
各依其職掌及業務別，考量氣候相關風險與機會，審議提案。"
G-1-3,0.8448662593227378,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-1-3,0.8399624313516468,"風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，
依循本公司治理原則管理氣候相關風險。 本公司氣候風險管理最高決策單位，確保建立及維持適當有效之氣候風險管理制度金控董事會
董事長
董事長銀行董事會永續經營委員會
永續金融小組
TCFD 工作小組氣候風險管理之統籌單位，
監督及指導集團氣候風險管
理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核"
G-1-3,0.8351954541976707,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-1-3,0.8343535708986656,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄8董事會成員背景及專業
　　董事會成員具備豐富之多元性，產業經歷方面具全球行業分類標準 （GICS） 金
融相關工作經驗者達 	85.7%。然而，氣候變遷的影響逐漸擴大，集團董事具備氣
候變遷相關知識背景的重要性也日趨顯著。本集團董事持續精進自身對於金融業
之氣候風險相關議題之了解，以及國內外因應氣候變遷之金融法規規範及揭露要
求。在氣候變遷議題快速變動與發展的時代，集團董事皆積極參與氣候變遷相關
講座及論壇，並廣納外部專家之建議，以掌握氣候變遷議題之最新趨勢，強化自"
G-1-3,0.8332955690972087,"每月 風險管理單位	➡	高階管理階層 統計監控「高污染及高碳排行業」暴險情形，陳報高階管理階層。
每季 風險管理單位	➡	風險管理委員會	➡	董事會風險管理單位依業務性質及資產規模，按季將氣候風險管理重要事項於其風險管
理委員會報告後，納入1月、4月、7月及10月陳報董事會之風險管理資訊報告案。
每年 風險管理委員會	➡	董事會 風險管理委員會每年定期呈報氣候風險辨識結果及管理流程至董事會。
　　本公司每年皆定期安排員工參與氣候相關基礎訓練，以確保每位
同仁了解氣候變遷對合庫的衝擊，例如「氣候變遷國際發展及因應策
略」、「氣候風險管理」、「永續金融專業人才培訓」及「實體風險"
G-1-3,0.830812371613356,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄7　　董事會及高階管理階層對氣候相關風險之管理及監督為氣
候治理之基石，以形塑企業價值，是帶領集團因應氣候變遷議
題之重要推手。旗下由相關委員會及小組負責執行氣候風險機
會之管理以及相關業務之監督與執行。
1.1 治理架構與權責
　　本公司、合庫銀行、合庫人壽及合庫票券均已訂定「氣候
風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，"
G-1-3,0.8288660779345278,"為因應全球氣候變遷，強化氣候風險管理，本公司於 2022 年依據「風險管理政策與指導準則」並參照金管會「本國銀行氣候風險財務揭露指引」
及「保險業氣候相關風險財務揭露指引」訂定「氣候風險管理準則」，將氣候風險納入現有風險管理架構中，並適用於本集團所各子公司。合庫支持國
際倡議或指引及遵循國內主管機關政策規範，將氣候風險與機會相關議題融入營運及業務決策流程中。第三章 氣候風險管理"
G-1-3,0.8287052013443285,"合庫金控 TAIWAN COOPERATIVE HOLDINGS 氣候相關財務揭露報告書 TCFD REPORT 2022
3
RISK
MANAGEMENT
第三章  氣候風險管理"
G-2-1,0.8498380385503406,"風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，
依循本公司治理原則管理氣候相關風險。 本公司氣候風險管理最高決策單位，確保建立及維持適當有效之氣候風險管理制度金控董事會
董事長
董事長銀行董事會永續經營委員會
永續金融小組
TCFD 工作小組氣候風險管理之統籌單位，
監督及指導集團氣候風險管
理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核"
G-2-1,0.844348274554539,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-2-1,0.8429071157532696,"與其衝擊，針對氣候相關風險與機會進行辨識、衡量、監督及控管程
序，並制訂因應策略以及指標目標。
風險管理委員會
氣候風險管理之統籌單位，負責監督及指導氣候風險管理執行情形，
審議氣候風險相關提案，並提報董事會氣候風險相關資訊。風險管理
委員會主任委員由董事長兼任，委員有總經理、副總經理等為委員成
員，董事長及總經理皆為董事成員，藉由董事成員的監管，達到董事
會監督之目的。
合庫銀行資產負債管理暨業務發展委員會、
投資企業暨買賣有價證券審議委員會及授信審議小組
各依其職掌及業務別，考量氣候相關風險與機會，審議提案。"
G-2-1,0.8381135228644588,"風險管理委員會報告後，納入本公司風險管理委員會之各子公司報告案，本公司風管處彙整執行情形、相關因應措施及策略等陳報風險管理委員會
及董事會，依決議事項持續追蹤改善。倘發生重大異常氣候風險或特殊情況，則依本公司緊急事件危機處理相關規定採取因應措施。
1.3 知識與能力培育
　　合庫深知氣候知識建構的重要性，致力於增進治理階層及員工對
氣候風險議題的認知。2022年董事會成員參與各項氣候相關課程講
習，包括「全球淨零排放因應與企業ESG行動」、「氣候變遷與淨
零排放政策對企業經營的風險與機會」、「以金融支持產業轉型減碳
及達成淨零」、 「低碳經濟與企業低碳創新的全球趨勢與商機」、 「國"
G-2-1,0.8365740776124619,"每月 風險管理單位	➡	高階管理階層 統計監控「高污染及高碳排行業」暴險情形，陳報高階管理階層。
每季 風險管理單位	➡	風險管理委員會	➡	董事會風險管理單位依業務性質及資產規模，按季將氣候風險管理重要事項於其風險管
理委員會報告後，納入1月、4月、7月及10月陳報董事會之風險管理資訊報告案。
每年 風險管理委員會	➡	董事會 風險管理委員會每年定期呈報氣候風險辨識結果及管理流程至董事會。
　　本公司每年皆定期安排員工參與氣候相關基礎訓練，以確保每位
同仁了解氣候變遷對合庫的衝擊，例如「氣候變遷國際發展及因應策
略」、「氣候風險管理」、「永續金融專業人才培訓」及「實體風險"
G-2-1,0.8344961958340265,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-2-1,0.8326582982110119,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄7　　董事會及高階管理階層對氣候相關風險之管理及監督為氣
候治理之基石，以形塑企業價值，是帶領集團因應氣候變遷議
題之重要推手。旗下由相關委員會及小組負責執行氣候風險機
會之管理以及相關業務之監督與執行。
1.1 治理架構與權責
　　本公司、合庫銀行、合庫人壽及合庫票券均已訂定「氣候
風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，"
G-2-1,0.8289117899028048,"之關鍵指導與目標。營業單位應落實辨識、衡量、控制及降低氣候風險對營運所產生之
影響，並對投融資對象之溫室氣體排放等氣候風險相關資料與其因應措施，進行必要之
蒐集、建檔與更新。權　　責
2第二道防線
風險管理及
法令遵循單位規劃氣候風險管理機制，研議產業氣候風險分級；確認氣候風險管理規章，配合相關法
規適時更新，並確保遵守法令規範。
3第三道防線
稽核單位評估第一道及第二道防線進行氣候風險監控之有效性，
並適時提供改善建議。"
G-2-1,0.8271170518397541,"源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視
於不同氣候情境下之因應策略是否具有韌性。高階管理階層亦於
編列年度預算時檢討氣候相關議題所配置之人力資源與預算是
否適切，並呈報董事會，以利未來氣候相關政策順利推行。"
G-2-1,0.8204707178293416,"2022
TCFD Report前言 ｜氣候治理 ｜氣候策略 ｜氣候風險管理 ｜氣候指標與目標 ｜未來展望 ｜附錄37
氣候風險三道防線
　　本集團除於董事會、高階管理階層及相關委員會之氣候治理架構下，依循內部控制三道防線劃分明確氣候管理的權責歸屬，以發揮治理效能。
1第一道防線
業務主管單位及
營業單位相關單位
充分瞭解所轄業務氣候風險，於各項作業管理規定逐步導入氣候風險因子，並訂定對應
之關鍵指導與目標。營業單位應落實辨識、衡量、控制及降低氣候風險對營運所產生之
影響，並對投融資對象之溫室氣體排放等氣候風險相關資料與其因應措施，進行必要之
蒐集、建檔與更新。權　　責
2第二道防線"
G-2-2,0.8240869041660634,"風險管理準則」或「氣候風險管理要點」，明確劃分董事會、高
階管理階層、相關委員會與小組，以及內部控制三道防線等氣
候風險管理組織架構與職責。其餘子公司因暴險部位占比低，
依循本公司治理原則管理氣候相關風險。 本公司氣候風險管理最高決策單位，確保建立及維持適當有效之氣候風險管理制度金控董事會
董事長
董事長銀行董事會永續經營委員會
永續金融小組
TCFD 工作小組氣候風險管理之統籌單位，
監督及指導集團氣候風險管
理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核"
G-2-2,0.8190022135313001,"及規劃因應措施或行動方案。
STEP 6執行成果陳報彙整本年度執行成果陳報董事會，以做為董事會討論氣候策略之
依據。第二章 氣候策略
2.1 氣候風險與機會
氣候風險與機會鑑別
　　為了掌握本集團可能所面臨之氣候相關風險
與機會以及其影響。TCFD工作小組依循TCFD架
構指引，研蒐國內外氣候相關研究文獻，並參酌金
融同業之氣候風險與機會管理議題，建立氣候相關
風險與機會鑑別問卷。
　　針對各類型的轉型風險與實體風險及其對價
值鏈之影響進行辨識與衡量，所涵蓋的風險類型包
含：現行法規風險、新興法規風險、技術風險、政
策風險、市場風險、聲譽風險、立即性實體風險及"
G-2-2,0.8185926304574712,"理執行情形，並提報董事會
相關資訊風險管理委員會 高階管理階層
定期檢視氣候風險管理執行
情形、監控暴險，檢視不同
氣候情境下之因應策略
高階管理階層 風險管理委員會 總稽核
投資企業暨買賣有價證券
 審議委員會資產負債管理暨
業務發展委員會授信審議小組
第二道防線
風險管理部 / 法令遵循部第一道防線 第三道防線< 合庫金控氣候風險治理架構 >第一章 氣候治理
董事會
為氣候風險管理最高決策單位，負責管理氣候相關政策規劃與資
源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視"
G-2-2,0.8147938296340631,"源配置之核定，對確保建立及維持適當有效之氣候風險管理制度
負有最終責任。
高階管理階層
定期檢視氣候風險管理執行情形，持續監控氣候風險暴險，檢視
於不同氣候情境下之因應策略是否具有韌性。高階管理階層亦於
編列年度預算時檢討氣候相關議題所配置之人力資源與預算是
否適切，並呈報董事會，以利未來氣候相關政策順利推行。"
