指標名稱,相似度,片段內容
G-1-2,0.8435691974758258,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-1-2,0.8367428332552695,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-1-2,0.8243676975165065,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-1-2,0.8028617404445563,"5 
 
2 氣候策略  
2.1 氣候風險影響評估  
風險類型  風險項目  影響面向  影響時間  
轉型  
風險  法規與政策  國內外法規政策趨嚴  自身營運與客
戶家戶收入  短中期  
技術  企業低碳轉型  客戶家戶收入  中期  
消費者偏好  企業營收與獲利能力下降  自身營運與 客
戶家戶收入  中期  
聲譽  未規劃及履行氣候風險相
關措施  自身營運與客
戶家戶收入  短期  
實體  
風險  立即性  水災、旱災  自身營運及客
戶資產價值  短期  
長期性  平均氣溫上升  自身營運與客
戶家戶收入  中長期"
G-1-2,0.8022097934337985,"發展綠色消費性
相關貸款業務  開發新產品增加服務對象及提
升營業收入  短中期  
時間週期之定義說明 ：短期： <3年、中期： 3年~10年、長期： >10年 
 
2.2 氣候風險管理策略  
本行已將氣候變遷風險納入風險管理機制，並依本行業務規模、性質及複雜程度，
以循序漸進方式建立辨識、評估、監控及報告等風險管理程序。  
 
2.3 氣候風險韌性驗證  
本行依主管機關規劃對實體風險與轉型風險進行情境分析與壓力測試，以評估氣
候風險對本行業務之影響，及在不同氣候情境下對氣候風險之韌性 。"
G-1-2,0.8014943650747763,"事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。 
 
第二道防線為本行 風險控管處與法令遵循處，負責 有效監控第一道防線對於氣候
風險管理之執行 ，以及確保各單位作業均遵守法令規範 。 
 
第三道防線 為本行董事會稽核室，負責 評估第一道及第二道防線進行氣候風險監
控之有效性，並適時提供改進建議。  
3.3 氣候風險與傳統風險之關聯性  
氣候風險  風險來源  傳統風險  
轉型風險  法規與政策  市場風險、信用風險、法律風險、聲譽風險  
技術  信用風險  
消費者偏好  信用風險"
G-1-3,0.8375274894533875,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
G-1-3,0.8342988645908447,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-1-3,0.8317186774676195,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-1-3,0.8317107378688517,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-1-3,0.8287877794814603,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-1-3,0.8221388366229611,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-1-3,0.8023357173517425,"發展綠色消費性
相關貸款業務  開發新產品增加服務對象及提
升營業收入  短中期  
時間週期之定義說明 ：短期： <3年、中期： 3年~10年、長期： >10年 
 
2.2 氣候風險管理策略  
本行已將氣候變遷風險納入風險管理機制，並依本行業務規模、性質及複雜程度，
以循序漸進方式建立辨識、評估、監控及報告等風險管理程序。  
 
2.3 氣候風險韌性驗證  
本行依主管機關規劃對實體風險與轉型風險進行情境分析與壓力測試，以評估氣
候風險對本行業務之影響，及在不同氣候情境下對氣候風險之韌性 。"
G-1-3,0.8017497984521939,"9 
 
4 氣候指標與目標  
4.1 氣候目標  
本行於 2022年3月正式對外營運，營運初期之業務較為單純，授信業務僅乘
作個人信用貸款業務，投資業務也以公債及央行定存單為主要投資標的，初期
之氣候風險目標設定為減降溫室氣體排放量，並以 2022年為基準年，設定 人
均碳排減量 2.5%之初期目標。  
 
4.2 氣候指標  
以溫室氣體排放量 ，單位為 CO 2e，作為監控本行氣候目標之管理指標。  
 
4.3 溫室氣體排放揭露  
本行主要營運 初期型態為收受存款 、放款以及投資 等業務，主要溫室氣體排放源"
G-2-1,0.8560821914528212,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-2-1,0.8417716544448409,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-2-1,0.8344671344271646,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-2-1,0.8226850621860066,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
G-2-1,0.8220690652886014,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-2-1,0.8171324349868189,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-2-2,0.8309685316069236,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-2-2,0.8120743152147933,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-2-2,0.811152128270898,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-2-2,0.8111028658741973,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-2-3,0.8479856086623673,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-2-3,0.8397762766988434,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-2-3,0.8289350277581145,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-2-3,0.8166677300453155,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-2-3,0.8090556801083824,"發展綠色消費性
相關貸款業務  開發新產品增加服務對象及提
升營業收入  短中期  
時間週期之定義說明 ：短期： <3年、中期： 3年~10年、長期： >10年 
 
2.2 氣候風險管理策略  
本行已將氣候變遷風險納入風險管理機制，並依本行業務規模、性質及複雜程度，
以循序漸進方式建立辨識、評估、監控及報告等風險管理程序。  
 
2.3 氣候風險韌性驗證  
本行依主管機關規劃對實體風險與轉型風險進行情境分析與壓力測試，以評估氣
候風險對本行業務之影響，及在不同氣候情境下對氣候風險之韌性 。"
G-2-3,0.8068356504848664,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
G-2-3,0.8037252520833059,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-2-3,0.8011029556185566,"事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。 
 
第二道防線為本行 風險控管處與法令遵循處，負責 有效監控第一道防線對於氣候
風險管理之執行 ，以及確保各單位作業均遵守法令規範 。 
 
第三道防線 為本行董事會稽核室，負責 評估第一道及第二道防線進行氣候風險監
控之有效性，並適時提供改進建議。  
3.3 氣候風險與傳統風險之關聯性  
氣候風險  風險來源  傳統風險  
轉型風險  法規與政策  市場風險、信用風險、法律風險、聲譽風險  
技術  信用風險  
消費者偏好  信用風險"
G-2-4,0.8422042798669671,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-2-4,0.8285547376573424,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-2-4,0.8181237807471308,"6 
 
3 氣候風險管理  
3.1 氣候風險管理政策  
本行為實踐永續金融發展目標，建立本行氣候風險管理制度及原則，提升氣候風
險管理能力， 制定有「氣候風險管理政策 」，規範氣候風險組織架構及權責，以
及建立氣候風險管理辨識、評估、監控與報告等風險管理程序原則。  
 
3.2 氣候風險管理三道防線  
氣候風險管理內部控制三道防線，說明如下：  
第一道防線 係指各業務執行 單位，應就其功能及業務範圍，承擔並管理各自日常
事務所產生的 氣候風險，且於辦理相關業務時，應評估氣候風險，尤其是對於受
氣候風險影響大之產業 ，以降低風險發生帶來之衝擊 。"
G-2-4,0.8100583393810529,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-2-4,0.8077114219230774,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-2-4,0.8029148457620572,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
